City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Airai,TL,-8.9266,125.4092,62.37,93,100,2.24,overcast clouds
79,Olafsvik,IS,64.8945,-23.7142,28.02,63,86,15.01,overcast clouds
80,Mar Del Plata,AR,-38.0023,-57.5575,54.88,84,0,4.0,clear sky
81,Westport,US,41.1415,-73.3579,23.32,60,0,11.5,clear sky
82,San Vicente,AR,-26.6167,-54.1333,61.21,97,53,1.39,broken clouds
83,Ribeira Grande,PT,38.5167,-28.7,51.78,76,58,11.01,broken clouds
84,Lewiston,US,44.1003,-70.2148,24.24,70,56,3.0,broken clouds
85,Lebu,CL,-37.6167,-73.65,57.56,93,3,4.56,clear sky
86,Bengkulu,ID,-3.8004,102.2655,83.71,67,99,7.07,overcast clouds
87,Baykit,RU,61.67,96.37,1.0,98,100,3.15,overcast clouds
88,Jawhar,SO,2.7809,45.5005,78.93,69,0,14.29,clear sky
89,Benguela,AO,-12.5763,13.4055,74.53,83,74,1.61,broken clouds
90,Ewa Beach,US,21.3156,-158.0072,78.75,79,0,4.61,light rain
91,Egvekinot,RU,66.3167,-179.1667,8.58,82,20,16.4,few clouds
92,Matara,LK,5.9485,80.5353,75.65,94,100,4.05,overcast clouds
93,Pinawa,CA,50.1489,-95.8811,-0.78,92,100,5.39,overcast clouds
94,Sinnamary,GF,5.3833,-52.95,75.76,90,49,12.1,scattered clouds
95,Coquimbo,CL,-29.9533,-71.3436,62.33,77,100,2.3,overcast clouds
96,Georgetown,MY,5.4112,100.3354,85.89,67,20,8.05,few clouds
97,Oranjemund,NA,-28.55,16.4333,61.5,77,0,13.0,clear sky
98,Yellowknife,CA,62.456,-114.3525,-15.45,76,100,8.05,light snow
99,Severo-Kurilsk,RU,50.6789,156.125,32.45,77,77,29.17,broken clouds
100,Vanimo,PG,-2.6741,141.3028,83.8,72,100,3.4,overcast clouds
101,Tracy,US,37.7397,-121.4252,50.34,73,51,5.75,broken clouds
102,Kodiak,US,57.79,-152.4072,36.91,87,100,24.16,moderate rain
103,Atuona,PF,-9.8,-139.0333,78.6,79,89,15.93,overcast clouds
104,Butembo,CD,0.15,29.2833,58.03,86,99,2.8,overcast clouds
105,Fortuna,US,40.5982,-124.1573,56.93,97,75,4.0,broken clouds
106,Vila Velha,BR,-20.3297,-40.2925,73.35,98,100,2.3,overcast clouds
107,Tuatapere,NZ,-46.1333,167.6833,61.84,68,100,8.5,overcast clouds
108,Cabo San Lucas,MX,22.8909,-109.9124,71.51,69,0,2.64,clear sky
109,Mokrousovo,RU,55.8103,66.7653,11.14,86,97,9.4,overcast clouds
110,Bluff,NZ,-46.6,168.3333,60.91,71,98,6.76,overcast clouds
111,Majene,ID,-3.5403,118.9707,83.46,68,100,4.41,light rain
112,Northam,GB,51.0333,-4.2167,44.62,82,100,18.66,overcast clouds
113,Ramanagaram,IN,12.7167,77.3,76.33,80,99,8.81,overcast clouds
114,Eston,CA,51.1501,-108.7514,-4.11,100,14,2.39,few clouds
115,Ormara,PK,25.2088,64.6357,70.45,53,5,4.74,clear sky
116,Victoria,HK,22.2855,114.1577,68.97,56,5,7.0,clear sky
117,Bull Savanna,JM,17.8868,-77.5902,71.29,85,6,5.75,clear sky
118,Maldonado,UY,-34.6667,-54.9167,54.79,83,92,1.43,overcast clouds
119,Lakes Entrance,AU,-37.8811,147.981,87.17,56,23,7.2,few clouds
120,Nome,US,64.5011,-165.4064,3.27,55,0,23.02,clear sky
121,Tias,ES,28.9611,-13.645,60.48,82,0,8.05,clear sky
122,Mabai,CN,23.0128,104.4508,54.66,69,28,6.29,scattered clouds
123,Bayan,CN,46.0833,127.4,6.91,88,100,3.02,overcast clouds
124,Dikson,RU,73.5069,80.5464,-15.45,93,19,8.48,few clouds
125,Faanui,PF,-16.4833,-151.75,81.0,74,20,11.18,few clouds
126,San Patricio,US,28.017,-97.5169,40.84,45,0,5.26,clear sky
127,Latung,PH,5.5,120.8833,81.79,74,94,4.09,overcast clouds
128,Ola,RU,59.5833,151.2833,14.09,74,35,9.57,scattered clouds
129,Esso,RU,55.9333,158.7,6.21,99,32,3.38,scattered clouds
130,Turayf,SA,31.6725,38.6637,44.85,87,75,5.75,broken clouds
131,Torbay,CA,47.6666,-52.7314,39.58,88,40,18.41,scattered clouds
132,Srednekolymsk,RU,67.45,153.6833,-11.22,94,100,7.07,overcast clouds
133,Colesberg,ZA,-30.72,25.0972,56.91,62,1,12.35,clear sky
134,Albany,US,42.6001,-73.9662,18.45,65,55,7.0,broken clouds
135,Krasnokamensk,RU,50.0979,118.0369,0.46,84,100,3.02,overcast clouds
136,Puerto Ayora,EC,-0.7393,-90.3518,72.55,95,78,6.13,broken clouds
137,Suoyarvi,RU,62.0833,32.35,2.26,100,87,3.87,overcast clouds
138,Kununurra,AU,-15.7667,128.7333,93.18,55,80,8.05,broken clouds
139,Charcas,MX,23.1333,-101.1167,39.25,95,22,5.12,few clouds
140,Bethel,US,41.3712,-73.414,20.93,65,0,10.36,clear sky
141,Martapura,ID,-3.4167,114.85,87.89,66,20,9.22,few clouds
142,Tasiilaq,GL,65.6145,-37.6368,8.76,68,100,5.21,overcast clouds
143,Khani,GE,41.9563,42.9566,26.17,71,4,3.36,clear sky
144,Asau,RO,46.4333,26.4,29.32,88,82,4.61,broken clouds
145,New Norfolk,AU,-42.7826,147.0587,75.9,47,14,4.0,few clouds
146,Muros,ES,42.7762,-9.0603,47.84,96,100,2.8,overcast clouds
147,Sisimiut,GL,66.9395,-53.6735,8.89,51,70,12.1,broken clouds
148,Tautira,PF,-17.7333,-149.15,80.15,76,52,8.48,broken clouds
149,Hithadhoo,MV,-0.6,73.0833,81.52,77,99,19.42,overcast clouds
150,Lorengau,PG,-2.0226,147.2712,84.78,72,71,6.33,broken clouds
151,Samarai,PG,-10.6167,150.6667,84.78,71,98,6.51,overcast clouds
152,Ilulissat,GL,69.2167,-51.1,1.42,39,48,2.3,scattered clouds
153,Honiara,SB,-9.4333,159.95,84.2,73,89,5.23,overcast clouds
154,Libertador General San Martin,AR,-23.8064,-64.7876,63.97,97,100,1.3,overcast clouds
155,Jamestown,US,42.097,-79.2353,13.59,80,100,14.97,overcast clouds
156,Los Llanos De Aridane,ES,28.6585,-17.9182,55.15,88,75,7.0,broken clouds
157,Beira,MZ,-19.8436,34.8389,75.29,94,20,4.61,few clouds
158,Lavrentiya,RU,65.5833,-171.0,4.03,93,6,13.15,clear sky
159,Mao,ES,39.8885,4.2658,61.36,100,100,3.44,overcast clouds
160,Tandil,AR,-37.3217,-59.1332,45.68,80,67,3.67,broken clouds
161,Soligalich,RU,59.0778,42.2864,3.78,100,77,4.79,broken clouds
162,Champerico,GT,14.3,-91.9167,76.35,73,1,2.71,clear sky
163,Kieta,PG,-6.2167,155.6333,82.98,77,100,5.44,light rain
164,Husavik,IS,66.0449,-17.3389,24.82,75,100,24.09,light snow
165,Dhola,IN,21.8833,71.7833,64.13,29,3,12.26,clear sky
166,Barrow,US,71.2906,-156.7887,-14.78,76,0,10.36,haze
167,Reconquista,AR,-29.15,-59.65,69.13,35,70,7.9,broken clouds
168,Longyearbyen,SJ,78.2186,15.6401,4.84,56,20,13.8,few clouds
169,Teguldet,RU,57.3064,88.1667,19.36,94,100,8.59,overcast clouds
170,Srandakan,ID,-7.9386,110.2506,84.13,70,98,13.89,light rain
171,Jeremie,HT,18.65,-74.1167,74.95,81,8,4.99,clear sky
172,Cidreira,BR,-30.1811,-50.2056,70.56,94,98,2.91,overcast clouds
173,Klaksvik,FO,62.2266,-6.589,38.32,73,73,33.64,light rain
174,Villazon,BO,-22.0866,-65.5942,46.4,76,10,13.06,clear sky
175,Beckley,US,37.7782,-81.1882,14.67,55,0,5.75,clear sky
176,Challapata,BO,-18.9,-66.7667,48.56,57,100,8.59,overcast clouds
177,Hilo,US,19.7297,-155.09,79.29,91,40,4.0,scattered clouds
178,Moroni,KM,-11.7022,43.2551,80.6,61,75,0.0,broken clouds
179,Natchitoches,US,31.7668,-93.1335,27.45,74,0,0.0,clear sky
180,Cabedelo,BR,-6.9811,-34.8339,77.67,73,100,11.23,overcast clouds
181,Narsaq,GL,60.9167,-46.05,11.39,66,100,11.68,overcast clouds
182,Atar,MR,20.5169,-13.0499,60.96,22,0,6.98,clear sky
183,Constitucion,CL,-35.3333,-72.4167,57.02,95,13,7.99,few clouds
184,Lagunas,PE,-5.2269,-75.6753,73.94,69,35,3.4,scattered clouds
185,Itoman,JP,26.1247,127.6694,66.58,45,75,8.05,broken clouds
186,Gambiran,ID,-6.7988,111.4951,80.62,80,96,9.98,moderate rain
187,Harper,LR,4.375,-7.7169,77.7,79,9,4.43,clear sky
188,Thunder Bay,CA,48.4001,-89.3168,1.38,60,75,12.66,broken clouds
189,Cherskiy,RU,68.75,161.3,-21.96,97,42,3.65,scattered clouds
190,Xiongzhou,CN,25.1167,114.3,62.56,29,6,5.12,clear sky
191,Abu Samrah,SY,35.3029,37.1841,48.76,94,100,9.89,overcast clouds
192,Oistins,BB,13.0667,-59.5333,78.89,73,40,21.85,scattered clouds
193,Ugoofaaru,MV,5.6667,73.0,81.64,72,33,11.59,scattered clouds
194,Portland,US,45.5234,-122.6762,49.39,95,75,10.36,broken clouds
195,Whitehorse,CA,60.7161,-135.0538,-0.9,74,100,0.0,light snow
196,Kavaratti,IN,10.5669,72.642,80.62,73,37,15.3,scattered clouds
197,Narasimharajapura,IN,13.6167,75.5167,81.43,54,68,6.15,broken clouds
198,Mitsamiouli,KM,-11.3847,43.2844,80.89,61,75,0.0,broken clouds
199,Geraldton,AU,-28.7667,114.6,77.41,53,40,18.41,scattered clouds
200,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.13,77,98,8.77,moderate rain
201,Praia Da Vitoria,PT,38.7333,-27.0667,53.85,71,40,12.35,scattered clouds
202,Kavieng,PG,-2.5744,150.7967,83.71,76,100,10.78,light rain
203,Sembabule,UG,-0.0772,31.4567,63.57,86,97,3.51,overcast clouds
204,Paragominas,BR,-2.9667,-47.4833,70.84,99,99,2.57,overcast clouds
205,Sawang Daen Din,TH,17.4753,103.4575,81.18,85,78,4.34,broken clouds
206,Longjiang,CN,47.3303,123.1836,13.46,79,96,3.04,overcast clouds
207,Rodrigues Alves,BR,-7.738,-72.6509,74.82,88,100,3.06,moderate rain
208,Sitka,US,57.0531,-135.33,46.29,66,100,17.27,moderate rain
209,Sawakin,SD,19.1059,37.3321,71.17,54,27,7.72,scattered clouds
210,Santa Maria,BR,-29.6842,-53.8069,63.0,97,30,4.99,scattered clouds
211,Iqaluit,CA,63.7506,-68.5145,19.13,67,40,17.27,scattered clouds
212,Marsa Matruh,EG,31.3525,27.2453,62.8,67,40,17.27,scattered clouds
213,Dir,PK,35.2058,71.8756,47.59,17,82,6.06,broken clouds
214,Marovoay,MG,-16.1,46.6333,81.57,73,15,3.71,few clouds
215,Brae,GB,60.3964,-1.353,40.42,63,92,30.24,light rain
216,Celestun,MX,20.8667,-90.4,65.82,89,100,14.63,moderate rain
217,Alofi,NU,-19.0595,-169.9187,80.49,83,74,5.75,broken clouds
218,Hamilton,US,39.1834,-84.5333,16.45,70,0,8.05,clear sky
219,Muroto,JP,33.2833,134.15,50.13,46,9,4.9,clear sky
220,Port Hedland,AU,-20.3167,118.5667,89.65,66,95,18.41,overcast clouds
221,Port Hardy,CA,50.6996,-127.4199,46.58,100,75,6.91,broken clouds
222,Lazaro Cardenas,MX,17.9583,-102.2,72.3,87,0,3.85,clear sky
223,Kawalu,ID,-7.3817,108.2082,84.42,66,28,4.56,scattered clouds
224,Ust-Koksa,RU,50.2696,85.6108,8.89,88,82,0.58,broken clouds
225,Sola,VU,-13.8833,167.55,82.56,67,24,3.04,light rain
226,San Quintin,MX,30.4833,-115.95,62.71,50,21,2.82,few clouds
227,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.66,73,78,1.45,broken clouds
228,Ayan,RU,56.45,138.1667,0.88,73,47,10.11,scattered clouds
229,Taoudenni,ML,22.6783,-3.9836,60.21,26,0,8.81,clear sky
230,Okhotsk,RU,59.3833,143.3,0.45,73,0,14.88,clear sky
231,Astoria,US,46.1879,-123.8313,57.56,92,100,11.99,moderate rain
232,Paamiut,GL,61.994,-49.6678,18.95,58,100,12.26,overcast clouds
233,Mabay,PH,6.0577,124.4666,81.5,80,100,2.26,overcast clouds
234,Kruisfontein,ZA,-34.0033,24.7314,60.58,60,0,4.45,clear sky
235,Chicama,PE,-7.8447,-79.1469,64.94,77,68,3.94,broken clouds
236,Viedma,AR,-40.8135,-62.9967,61.52,57,22,11.56,few clouds
237,Port Dover,CA,42.7834,-80.1997,18.59,84,29,19.35,scattered clouds
238,Chiang Khong,TH,20.2613,100.4046,79.92,51,6,2.13,clear sky
239,Synya,RU,65.3718,58.0387,10.56,94,100,10.29,light snow
240,Lowestoft,GB,52.4752,1.7516,49.41,91,82,21.79,broken clouds
241,Aras,ES,42.5617,-2.356,50.43,87,20,2.3,few clouds
242,Saint-Philippe,RE,-21.3585,55.7679,81.99,76,36,11.3,scattered clouds
243,Kahului,US,20.8947,-156.47,77.02,77,40,6.91,scattered clouds
244,Sibu,MY,2.3,111.8167,80.91,88,40,7.0,moderate rain
245,Gobabis,NA,-22.45,18.9667,72.05,21,6,10.22,clear sky
246,Sao Domingos Do Maranhao,BR,-5.5758,-44.3853,72.0,95,99,1.1,overcast clouds
247,Pemangkat,ID,1.1667,108.9667,81.09,80,100,12.28,moderate rain
248,Villa Guerrero,MX,18.8667,-99.65,57.27,81,13,3.62,few clouds
249,Porto Walter,BR,-8.2686,-72.7439,74.52,91,100,2.84,overcast clouds
250,Santa Isabel,BR,-23.3156,-46.2214,69.1,99,99,2.46,light rain
251,Jalu,LY,29.0331,21.5482,57.29,79,1,7.45,clear sky
252,Muzhi,RU,65.3667,64.6667,1.15,98,62,5.64,broken clouds
253,Parana,AR,-31.732,-60.5238,66.54,76,25,3.94,scattered clouds
254,Kindu,CD,-2.95,25.95,69.53,99,100,2.04,light rain
255,Cabinda,AO,-5.55,12.2,75.09,90,100,4.94,overcast clouds
256,Marzuq,YE,14.4,46.4667,68.68,50,5,6.24,clear sky
257,Zheleznodorozhnyy,RU,55.7503,38.0042,24.35,98,100,2.53,overcast clouds
258,Kenai,US,60.5544,-151.2583,26.65,63,75,20.71,broken clouds
259,Kirakira,SB,-10.4544,161.9205,83.79,73,92,6.6,light rain
260,Alugan,PH,12.2188,125.4808,78.22,79,100,19.26,overcast clouds
261,Banda Aceh,ID,5.5577,95.3222,84.0,69,78,7.52,broken clouds
262,Varhaug,NO,58.6147,5.6457,46.15,91,100,17.96,overcast clouds
263,Huilong,CN,31.8111,121.655,45.64,48,90,11.01,overcast clouds
264,Gamba,GA,-2.65,10.0,75.06,92,100,2.19,overcast clouds
265,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,63.36,76,99,2.77,overcast clouds
266,Tbilisskaya,RU,45.3633,40.19,37.92,75,99,7.16,overcast clouds
267,Mecca,SA,21.4267,39.8261,65.57,58,63,4.21,broken clouds
268,Moose Factory,CA,51.2585,-80.6094,6.8,78,100,20.71,light snow
269,Whitecourt,CA,54.1502,-115.6855,2.44,92,40,11.5,scattered clouds
270,Mbandaka,CD,0.0487,18.2603,69.58,66,91,1.81,overcast clouds
271,Ban Nahin,LA,18.2418,104.2122,82.71,34,40,2.21,scattered clouds
272,Loikaw,MM,19.6742,97.2094,79.14,44,1,0.45,clear sky
273,Sambava,MG,-14.2667,50.1667,78.76,81,31,4.59,scattered clouds
274,Ust-Omchug,RU,61.15,149.6333,-7.11,100,98,2.8,overcast clouds
275,Katangli,RU,51.7102,143.2326,16.3,91,100,19.53,overcast clouds
276,Singaparna,ID,-7.3515,108.111,83.93,66,28,3.69,scattered clouds
277,Flinders,AU,-34.5833,150.8552,87.26,67,9,8.01,light rain
278,Hualmay,PE,-11.0964,-77.6139,68.85,84,100,6.31,overcast clouds
